"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"h>ANAPC2",0.224562834017056,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ANAPC4",0.227288661644747,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ANAPC5",5.20130461968953,0.103564079174306,0.170832349904334,0.606232246013722,0.544360542879775,0.950016284640889
"h>ANAPC7",0.389435304994069,-0.0399067157331318,0.0510292222679643,-0.78203652651365,0.4341931075804,NA
"h>ANGEL1",0.352285124239086,0.0109554036706655,0.0576850298275301,0.189917621667538,0.849373683680633,NA
"h>ANGEL2",0.238685344479014,-0.00268655585394409,0.0443116340121988,-0.0606286794390044,0.951654932642571,NA
"h>ANGPT1",0.958863210613068,0.0312318157418001,0.0916137509518122,0.340907510251683,0.733173210778104,NA
"h>ANGPTL2",0.370831190328557,0.00814411807424049,0.0498764077467437,0.163285979126518,0.87029327278189,NA
"h>ANK3",2.94186538880952,-0.0494612655129148,0.122222038897865,-0.404683688465115,0.685710033628514,NA
"h>ANKAR",0.224562834017056,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ANKFY1",1.07588451970196,0.00659481118194927,0.0824948206406669,0.079942124011338,0.936283286901794,NA
"h>ANKH",0.384796634160332,0.0114811352695534,0.0590216902113981,0.19452400004865,0.845765605309398,NA
"h>ANKIB1",1.00810691263988,-0.0126733996879769,0.0973312533923137,-0.130208943646232,0.896401118816741,NA
"h>ANKMY2",0.364665901117931,-0.0149542578580022,0.0498421363524249,-0.300032441472077,0.764152410178184,NA
"h>ANKRD10",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ANKRD11",0.363943155557323,0.00809863596414278,0.049739203215563,0.162821988302555,0.870658595131668,NA
"h>ANKRD12",1.80840662725658,0.0561407473347143,0.106451662112467,0.527382534200369,0.597927969890803,NA
"h>ANKRD13A",0.359804361136499,0.0110776380608919,0.0579988162426422,0.190997657858185,0.848527428138159,NA
"h>ANKRD13C",1.88942427342448,0.167469438421596,0.118568282873055,1.41243032591522,0.157823292397635,NA
"h>ANKRD17",4.69695792605693,0.0463312523411204,0.151409494421415,0.305999650274029,0.759604912055353,0.989802732827444
"h>ANKRD26",0.332889162770952,0.0243383058916375,0.0440863492650921,0.552059907371573,0.580907309474997,NA
"h>ANKRD26L1",0.332889162770952,0.0243383058916375,0.0440863492650921,0.552059907371573,0.580907309474997,NA
"h>ANKRD27",0.24761754816956,-0.00275333359187876,0.0448518468957854,-0.0613872957846355,0.951050769773532,NA
"h>ANKRD28",0.97402536929532,0.0270201555743079,0.0901184551842496,0.299829324848772,0.764307345800629,NA
"h>ANKRD32",0.352285124239086,0.0109554036706655,0.0576850298275301,0.189917621667538,0.849373683680633,NA
"h>ANKRD33B",0.512518924382362,-0.00644126955476661,0.0694079089852115,-0.0928031062877723,0.926059983202441,NA
"h>ANKRD34A",0.235589663209113,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ANKRD40",1.13953262044477,0.00511869863764709,0.0952180053169776,0.0537576755636407,0.957128230736579,NA
"h>ANKRD44",0.462377311704514,0.0277323102260498,0.0610656156185028,0.454139534092357,0.64972840011213,NA
"h>ANKRD50",0.224562834017056,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ANKRD52",2.40366414666699,-0.0563734643374251,0.142823687568402,-0.394706685544904,0.693059368223238,NA
"h>ANKS1A",0.238685344479014,-0.00268655585394409,0.0443116340121988,-0.0606286794390044,0.951654932642571,NA
"h>ANKS4B",0.652179997440236,-0.0718478502933696,0.0752945524650118,-0.954223751137324,0.339970394578973,NA
"h>ANLN",0.348777531944442,0.00791016904840778,0.0491663064584069,0.160885972898931,0.872183210384487,NA
"h>ANO6",0.74881864350046,-0.00512172425769519,0.0682051927780209,-0.0750928785490605,0.940140813922691,NA
"h>ANP32A",1.94486529588094,0.0147942397454902,0.120351296029935,0.122925470963025,0.902166115675304,NA
"h>ANP32B",0.443852217027937,0.0316502592132159,0.0441593932774835,0.716727673642068,0.473542146895336,NA
"h>ANP32C",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ANP32E",3.39685803935372,-0.00932559760063585,0.0588055387591915,-0.158583660611021,0.873996902819803,NA
"h>ANTXR2",1.17991845233548,0.0623543406297191,0.0962227567032245,0.648020725721212,0.516971545311805,NA
"h>ANXA1",0.840294856492847,-0.0144450448018909,0.0605534053919968,-0.238550494532552,0.811454156497223,NA
"h>ANXA11",5.17168293558532,-0.122298549557895,0.16375030362948,-0.746859986498846,0.455148081435118,0.92849643283298
"h>ANXA2",1.17095920478545,0.0474616475716441,0.0846829469896869,0.560462870729147,0.575163758398621,NA
"h>ANXA2P1",0.795376662569708,0.1095359873908,0.0758031385295221,1.44500596565854,0.1484562099704,NA
"h>ANXA2P2",1.07344708441772,0.0395573336922119,0.0854454688406071,0.462954141734578,0.643397238084223,NA
"h>ANXA4",0.33552588827404,0.029849843878471,0.0487537347096114,0.612257585111451,0.540367347441345,NA
"h>ANXA5",0.573340365961498,0.042315347803341,0.0643302561935529,0.657782982800894,0.510677590711932,NA
"h>ANXA6",2.44919267977465,0.103719303036207,0.10607590119195,0.977783849778673,0.32818124035084,NA
"h>ANXA7",0.557451996788008,0.056538783250916,0.0556123677069739,1.01665844455362,0.309315940761198,NA
"h>AOF1",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AP1B1",0.449214770158715,0.045104119539451,0.0524267000925869,0.860327265683249,0.389608667103278,NA
